geocode,name_muni,name_region,code_region,name_macro,code_macro,state
3515186,Espírito Santo do Pinhal,Mantiqueira,35142,RRAS15,3528,SP
3515202,Estrela d'Oeste,Fernandópolis,35154,RRAS12,3531,SP
3515301,Estrela do Norte,Alta Sorocabana,35112,RRAS11,3532,SP
3516309,Francisco Morato,Franco da Rocha,35012,RRAS3,3524,SP
3515608,Fernando Prestes,Catanduva,35151,RRAS12,3531,SP
2901205,Anagé,Vitória da Conquista,29028,Sudoeste,2911,BA
3515657,Fernão,Marília,35093,RRAS10,3533,SP
3515806,Flora Rica,Alta Paulista,35111,RRAS11,3532,SP
3515905,Floreal,Votuporanga,35157,RRAS12,3531,SP
3516101,Florínia,Assis,35092,RRAS10,3533,SP
3516200,Franca,Três Colinas,35081,RRAS13,3530,SP
2901908,Aporá,Alagoinhas,29001,Nordeste,2914,BA
2902005,Aracatu,Brumado,29003,Sudoeste,2911,BA
2902104,Araci,Serrinha,29025,Centro-Leste,2917,BA
2906907,Caravelas,Teixeira de Freitas,29026,Extremo Sul,2916,BA
3516408,Franco da Rocha,Franco da Rocha,35012,RRAS3,3524,SP
3516507,Gabriel Monteiro,Consórcios do DRS II,35023,RRAS12,3531,SP
3516804,Gastão Vidigal,Votuporanga,35157,RRAS12,3531,SP
3517109,Glicério,Consórcios do DRS II,35023,RRAS12,3531,SP
2902401,Aurelino Leal,Itabuna,29012,Sul,2910,BA
2902500,Baianópolis,Barreiras,29002,Oeste,2912,BA
2902609,Baixa Grande,Feira de Santana,29006,Centro-Leste,2917,BA
2902708,Barra,Ibotirama,29008,Oeste,2912,BA
2902807,Barra da Estiva,Brumado,29003,Sudoeste,2911,BA
3517307,Guaimbê,Marília,35093,RRAS10,3533,SP
3517406,Guaíra,Norte - Barretos,35051,RRAS13,3530,SP
3520442,Ilha Solteira,Lagos do DRS II,35022,RRAS12,3531,SP
3517505,Guapiaçu,São José do Rio Preto,35155,RRAS12,3531,SP
3517703,Guará,Alta Mogiana,35083,RRAS13,3530,SP
2903409,Belmonte,Porto Seguro,29018,Extremo Sul,2916,BA
2903508,Belo Campo,Vitória da Conquista,29028,Sudoeste,2911,BA
2903706,Boa Nova,Jequié,29015,Sul,2910,BA
2903805,Boa Vista do Tupim,Itaberaba,29011,Centro-Leste,2917,BA
3517901,Guaraci,Norte - Barretos,35051,RRAS13,3530,SP
3518008,Guarani d'Oeste,Fernandópolis,35154,RRAS12,3531,SP
3518909,Guzolândia,Central do DRS II,35021,RRAS12,3531,SP
3519006,Herculândia,Tupã,35095,RRAS10,3533,SP
2904506,Brotas de Macaúbas,Ibotirama,29008,Oeste,2912,BA
2904605,Brumado,Brumado,29003,Sudoeste,2911,BA
3519071,Hortolândia,RM de Campinas,35072,RRAS15,3528,SP
3520608,Indiana,Alta Sorocabana,35112,RRAS11,3532,SP
3519105,Iacanga,Bauru,35062,RRAS9,3518,SP
2904753,Buritirama,Ibotirama,29008,Oeste,2912,BA
2904803,Caatiba,Itapetinga,29013,Sudoeste,2911,BA
3519253,Iaras,Vale do Jurumirim,35061,RRAS9,3518,SP
3519303,Ibaté,Coração do DRS III,35034,RRAS13,3530,SP
3519402,Ibirá,São José do Rio Preto,35155,RRAS12,3531,SP
3519501,Ibirarema,Ourinhos,35094,RRAS10,3533,SP
3519808,Icém,São José do Rio Preto,35155,RRAS12,3531,SP
3519907,Iepê,Alto Capivari,35113,RRAS11,3532,SP
2905206,Caetité,Guanambi,29007,Sudoeste,2911,BA
3520004,Igaraçu do Tietê,Jaú,35064,RRAS9,3518,SP
3548302,Santo Expedito,Alta Sorocabana,35112,RRAS11,3532,SP
3520103,Igarapava,Alta Mogiana,35083,RRAS13,3530,SP
3520202,Igaratá,Alto Vale do Paraíba,35171,RRAS17,3526,SP
3520301,Iguape,Vale do Ribeira,35121,RRAS7,3520,SP
3520400,Ilhabela,Litoral Norte,35173,RRAS17,3526,SP
3520426,Ilha Comprida,Vale do Ribeira,35121,RRAS7,3520,SP
3520707,Indiaporã,Fernandópolis,35154,RRAS12,3531,SP
3521101,Ipeúna,Rio Claro,35104,RRAS14,3529,SP
2929503,São Sebastião do Passé,Salvador,29020,Leste,2915,BA
3103405,Araçuaí,Araçuaí,31064,Jequitinhonha,3104,MG
3103504,Araguari,Uberlândia / Araguari,31075,Triângulo do Norte,3113,MG
3521150,Ipiguá,São José do Rio Preto,35155,RRAS12,3531,SP
3521309,Ipuã,Alta Anhanguera,35082,RRAS13,3530,SP
3521408,Iracemápolis,Limeira,35102,RRAS14,3529,SP
3527801,Lupércio,Marília,35093,RRAS10,3533,SP
2907103,Carinhanha,Guanambi,29007,Sudoeste,2911,BA
2907202,Casa Nova,Juazeiro,29016,Norte,2913,BA
3522208,Itapecerica da Serra,Mananciais,35013,RRAS4,3523,SP
3521507,Irapuã,Catanduva,35151,RRAS12,3531,SP
3521606,Irapuru,Alta Paulista,35111,RRAS11,3532,SP
3521903,Itajobi,Catanduva,35151,RRAS12,3531,SP
3522158,Itaóca,Itapeva,35162,RRAS8,3519,SP
3523008,Itapura,Lagos do DRS II,35022,RRAS12,3531,SP
3523107,Itaquaquecetuba,Alto do Tietê,35011,RRAS2,3525,SP
2908606,Conde,Camaçari,29004,Leste,2915,BA
2908705,Condeúba,Vitória da Conquista,29028,Sudoeste,2911,BA
2908804,Contendas do Sincorá,Brumado,29003,Sudoeste,2911,BA
2908903,Coração de Maria,Feira de Santana,29006,Centro-Leste,2917,BA
2909000,Cordeiros,Vitória da Conquista,29028,Sudoeste,2911,BA
2909109,Coribe,Santa Maria da Vitória,29021,Oeste,2912,BA
2909208,Coronel João Sá,Ribeira do Pombal,29019,Nordeste,2914,BA
2909307,Correntina,Santa Maria da Vitória,29021,Oeste,2912,BA
2909406,Cotegipe,Barreiras,29002,Oeste,2912,BA
2913200,Ibotirama,Ibotirama,29008,Oeste,2912,BA
3523305,Itariri,Vale do Ribeira,35121,RRAS7,3520,SP
3523701,Itirapuã,Três Colinas,35081,RRAS13,3530,SP
3524006,Itupeva,Jundiaí,35073,RRAS16,3527,SP
3524105,Ituverava,Alta Mogiana,35083,RRAS13,3530,SP
3524204,Jaborandi,Norte - Barretos,35051,RRAS13,3530,SP
3524303,Jaboticabal,Horizonte Verde,35131,RRAS13,3530,SP
3524501,Jaci,José Bonifácio,35156,RRAS12,3531,SP
3525854,Jumirim,Sorocaba,35163,RRAS8,3519,SP
3524709,Jaguariúna,RM de Campinas,35072,RRAS15,3528,SP
2911105,Formosa do Rio Preto,Barreiras,29002,Oeste,2912,BA
2911303,Gentio do Ouro,Irecê,29010,Centro - Norte,2918,BA
3524808,Jales,Jales,35153,RRAS12,3531,SP
3524907,Jambeiro,Alto Vale do Paraíba,35171,RRAS17,3526,SP
3525003,Jandira,Rota dos Bandeirantes,35014,RRAS5,3522,SP
3526506,Lavínia,Lagos do DRS II,35022,RRAS12,3531,SP
2912301,Ibicuí,Itapetinga,29013,Sudoeste,2911,BA
2912400,Ibipeba,Irecê,29010,Centro - Norte,2918,BA
2912509,Ibipitanga,Brumado,29003,Sudoeste,2911,BA
2912707,Ibirapitanga,Itabuna,29012,Sul,2910,BA
2912806,Ibirapuã,Teixeira de Freitas,29026,Extremo Sul,2916,BA
2912905,Ibirataia,Jequié,29015,Sul,2910,BA
3525102,Jardinópolis,Aquífero Guarani,35132,RRAS13,3530,SP
2911709,Guanambi,Guanambi,29007,Sudoeste,2911,BA
3525409,Jeriquara,Três Colinas,35081,RRAS13,3530,SP
3525508,Joanópolis,Bragança,35071,RRAS16,3527,SP
3525805,Júlio Mesquita,Marília,35093,RRAS10,3533,SP
3526605,Lavrinhas,Circ. da Fé e Vale Histórico,35172,RRAS17,3526,SP
